Session_ID,Station_ID,Vehicle_ID,Start_Time,End_Time,Energy_Consumed_kWh,Payment_Amount,Charging_Mode,Session_Status
900048,20071,69847,11/18/2024 18:36,11/18/2024 19:51,18.12,261.96,Normal,Interrupted
900049,15040,56134,11/30/2023 7:29,11/30/2023 9:08,18.54,306.5,Fast,Interrupted
900050,17813,60532,5/12/2024 18:27,5/12/2024 19:26,54.97,1101.82,Trickle,Completed
900051,19280,68766,3/6/2023 23:37,3/7/2023 1:07,17.76,303.52,Normal,Scheduled
900052,23589,69282,2/18/2024 19:58,2/18/2024 22:06,25.34,517.84,Normal,Interrupted
900053,26115,60345,1/4/2024 2:38,1/4/2024 4:01,9.77,214.01,Normal,Completed
900054,28736,64941,1/23/2025 8:39,1/23/2025 10:01,54.2,1073.48,Fast,Completed
900055,19668,56182,7/5/2024 19:34,7/5/2024 20:30,50.25,923.97,Normal,Scheduled
900056,13666,54822,8/18/2023 20:46,8/18/2023 21:36,31.63,485.94,Normal,Completed
900057,20779,54214,9/10/2023 6:24,9/10/2023 8:38,22.77,548.45,Normal,Interrupted
900058,21607,57523,5/16/2024 22:41,5/16/2024 23:49,29.35,381.12,Fast,Completed
900059,24065,53661,11/24/2023 23:03,11/25/2023 0:16,54.65,1161.32,Fast,Completed
900060,29078,67432,11/12/2024 2:10,11/12/2024 3:18,26.56,385.43,Normal,Scheduled
900061,24658,61330,10/22/2023 7:22,10/22/2023 9:00,46.81,491.85,Normal,Completed
900062,11375,67702,1/27/2024 16:47,1/27/2024 18:30,30.63,679.97,Trickle,Interrupted
900063,25004,65471,10/1/2023 13:04,10/1/2023 15:25,39.61,480.12,Trickle,Scheduled
900064,14335,66082,2/23/2023 13:05,2/23/2023 14:48,5.21,70.75,Normal,Scheduled
900065,17460,57981,3/27/2025 12:04,3/27/2025 12:45,18.52,331.02,Trickle,Completed
900066,22627,65798,8/7/2024 3:15,8/7/2024 5:34,38.53,666.48,Fast,Scheduled
900067,16622,66196,3/12/2023 1:10,3/12/2023 3:17,54.31,1061.04,Trickle,Interrupted
900068,14622,69058,6/16/2024 19:26,6/16/2024 21:54,27.83,428.4,Normal,Completed
900069,24489,51619,1/3/2023 18:17,1/3/2023 19:22,19.69,281.67,Trickle,Scheduled
900070,12946,53583,1/20/2024 6:57,1/20/2024 8:41,13.89,200.54,Fast,Scheduled
900071,24855,60123,10/7/2024 10:03,10/7/2024 12:08,31.7,420.91,Fast,Completed
900072,16520,66680,10/25/2023 3:18,10/25/2023 5:45,15.49,159.94,Normal,Completed
900073,14792,55114,2/6/2025 18:25,2/6/2025 20:41,17.12,394.88,Trickle,Scheduled
900074,12194,57176,10/20/2024 16:09,10/20/2024 19:09,8.85,188.13,Fast,Interrupted
900075,21732,65711,3/29/2024 14:40,3/29/2024 15:59,40.52,709.91,Fast,Completed
900076,16555,61616,3/10/2023 4:43,3/10/2023 5:38,49.26,1008.89,Trickle,Completed
900077,25517,55329,4/18/2023 9:41,4/18/2023 11:09,25.31,411.63,Normal,Completed
900078,24871,52914,2/25/2025 7:30,2/25/2025 8:12,32.32,516.44,Trickle,Scheduled
900079,22390,52265,3/15/2023 10:06,3/15/2023 11:37,17.89,318.22,Normal,Interrupted
900080,24514,57715,2/6/2024 19:25,2/6/2024 21:32,9.4,179.54,Normal,Scheduled
900081,15465,58780,8/6/2024 20:46,8/6/2024 23:45,38.75,796.57,Fast,Interrupted
900082,22922,63480,12/23/2023 16:27,12/23/2023 18:18,27.53,300.26,Trickle,Interrupted
900083,16101,62105,4/9/2023 12:58,4/9/2023 15:15,50.23,763.74,Trickle,Interrupted
900084,25263,56421,10/13/2023 8:45,10/13/2023 10:35,6.81,161.79,Fast,Scheduled
900085,11756,50147,4/28/2024 0:01,4/28/2024 2:51,5.2,56.86,Fast,Completed
900086,26217,62510,8/5/2023 17:06,8/5/2023 17:37,7.2,118.29,Normal,Completed
900087,21682,59318,9/2/2024 22:52,9/3/2024 1:03,23.73,437.57,Fast,Completed
900088,20093,64351,2/28/2024 15:52,2/28/2024 17:01,22.79,533.13,Fast,Scheduled
900089,23419,65124,5/7/2024 6:58,5/7/2024 8:24,22.91,247.95,Trickle,Completed
900090,23138,63515,11/15/2024 16:10,11/15/2024 17:25,42.96,654.04,Trickle,Completed
900091,28234,68711,7/18/2024 18:42,7/18/2024 21:05,15.67,172.59,Normal,Completed
900092,23369,55727,2/22/2024 7:00,2/22/2024 8:42,55.6,743.22,Trickle,Completed
900093,26657,51365,3/6/2023 10:04,3/6/2023 11:53,22.27,458.96,Normal,Scheduled
900094,20346,68060,11/21/2024 21:21,11/21/2024 23:36,37.82,629.91,Normal,Scheduled
900095,10746,59139,4/17/2023 2:54,4/17/2023 4:20,49.63,1188.17,Trickle,Completed
900096,10031,62036,1/26/2023 11:25,1/26/2023 14:21,16.18,270.4,Normal,Completed
900097,13916,67418,2/17/2024 18:18,2/17/2024 20:49,51,528.63,Fast,Scheduled
900098,19984,67071,7/30/2024 14:06,7/30/2024 16:01,25.18,537.46,Normal,Completed
900099,11902,60430,5/9/2023 0:09,5/9/2023 2:38,16.87,375.52,Trickle,Scheduled
900100,15196,61344,7/27/2024 8:47,7/27/2024 11:27,8.7,156.22,Fast,Interrupted
900101,19838,69513,12/2/2024 8:43,12/2/2024 10:12,8.75,206.7,Normal,Completed
900102,16437,66807,2/15/2024 4:17,2/15/2024 6:33,40,474.84,Trickle,Completed
900103,28075,55806,7/7/2023 5:00,7/7/2023 6:22,56.31,767.98,Normal,Completed
900104,20389,54110,3/29/2025 12:12,3/29/2025 13:21,53.4,1178.46,Fast,Scheduled
900105,12528,59812,11/16/2023 10:39,11/16/2023 11:12,40.39,756.84,Fast,Completed
900106,10934,58397,7/21/2023 21:05,7/21/2023 23:32,43.71,722.57,Fast,Scheduled
900107,13580,58094,8/24/2024 22:30,8/25/2024 0:59,57.33,1189.74,Trickle,Scheduled
900108,26980,62398,9/28/2024 4:21,9/28/2024 6:00,51.43,612.68,Trickle,Scheduled
900109,29691,69542,11/14/2024 3:08,11/14/2024 4:38,23.08,496.27,Fast,Scheduled
900110,23047,69066,4/8/2025 18:25,4/8/2025 19:55,49.35,1213.75,Fast,Completed
900111,27157,55672,4/3/2023 21:57,4/3/2023 23:15,41.14,585.41,Trickle,Scheduled
900112,11621,56545,1/2/2023 21:28,1/3/2023 0:01,15.64,256.15,Fast,Scheduled
900113,25799,50895,12/18/2023 13:32,12/18/2023 15:41,47.57,798.56,Fast,Completed
900114,26187,58327,3/7/2025 23:26,3/8/2025 0:39,27.67,464.36,Trickle,Scheduled
900115,20874,53279,8/20/2024 4:22,8/20/2024 5:00,11.7,184.07,Fast,Scheduled
900116,23562,58176,8/28/2024 0:11,8/28/2024 2:04,36.06,708.14,Trickle,Completed
900117,15073,57492,11/8/2023 16:19,11/8/2023 16:51,42.93,531.86,Trickle,Scheduled
900118,22024,64874,8/22/2023 10:18,8/22/2023 13:06,25.04,462.88,Normal,Completed
900119,23183,67382,3/15/2023 9:20,3/15/2023 11:15,7.82,129.84,Trickle,Interrupted
900120,13995,59811,5/30/2024 0:06,5/30/2024 2:06,40.26,959.01,Trickle,Completed
900121,15118,58239,9/25/2023 21:30,9/26/2023 0:28,8.15,200.78,Trickle,Scheduled
900122,25237,56195,4/2/2025 4:37,4/2/2025 6:48,55.7,1261.33,Trickle,Scheduled
900123,23971,65819,10/7/2024 0:28,10/7/2024 2:26,57.35,864.92,Trickle,Completed
900124,16821,65056,4/9/2025 3:26,4/9/2025 4:20,24.1,250.28,Trickle,Scheduled
900125,14993,61762,5/10/2023 13:34,5/10/2023 14:41,38.99,532.52,Fast,Scheduled
900126,27357,56437,12/23/2024 2:27,12/23/2024 5:18,8.72,188.8,Normal,Interrupted
900127,23993,69459,9/10/2024 18:32,9/10/2024 20:06,23,414.09,Normal,Completed
900128,18068,54258,2/28/2024 12:38,2/28/2024 13:45,53.15,1278.7,Trickle,Scheduled
900129,19717,56229,12/5/2023 11:47,12/5/2023 14:42,14.61,177.52,Normal,Completed
900130,24126,64655,2/9/2025 20:38,2/9/2025 21:09,56.73,872.7,Fast,Scheduled
900131,12602,61539,6/13/2024 4:35,6/13/2024 6:37,21.5,418.69,Fast,Completed
900132,23786,62830,7/28/2024 12:41,7/28/2024 15:07,18.7,345.46,Normal,Completed
900133,23935,61476,8/15/2023 8:56,8/15/2023 10:52,14.04,318.01,Fast,Scheduled
900134,28905,56858,2/20/2025 16:34,2/20/2025 19:10,45.25,562.79,Normal,Scheduled
900135,12470,53549,2/5/2024 7:40,2/5/2024 10:30,10.48,122.13,Fast,Scheduled
900136,25638,67955,7/1/2023 14:09,7/1/2023 15:38,33.37,548.57,Normal,Completed
900137,10190,57473,2/8/2024 13:45,2/8/2024 16:13,16.47,174.06,Trickle,Interrupted
900138,29988,50986,1/25/2025 12:30,1/25/2025 13:42,48.02,1055.57,Fast,Interrupted
900139,20139,65046,12/24/2023 1:44,12/24/2023 2:43,17.9,332.01,Normal,Completed
900140,26302,56499,4/4/2024 8:40,4/4/2024 11:15,5.17,58.06,Fast,Scheduled
900141,13954,54207,3/15/2023 20:00,3/15/2023 20:43,52.86,777.55,Trickle,Interrupted
900142,22849,61209,11/13/2024 6:47,11/13/2024 9:29,33.13,574.51,Trickle,Interrupted
900143,11954,56015,6/8/2023 9:55,6/8/2023 11:46,9.26,198.89,Trickle,Interrupted
900144,10632,56030,4/25/2024 3:47,4/25/2024 5:21,45.85,985.79,Normal,Scheduled
900145,19348,50200,10/24/2024 1:06,10/24/2024 2:19,42.69,1035.28,Trickle,Completed
900146,10368,61860,10/31/2024 2:50,10/31/2024 5:35,22.09,401.56,Fast,Completed
900147,21089,62539,8/5/2024 23:51,8/6/2024 2:32,44.17,729.62,Normal,Completed
900148,12800,54141,10/12/2024 18:55,10/12/2024 20:34,31.84,375.96,Normal,Scheduled
900149,24271,54547,1/23/2025 21:06,1/23/2025 22:28,57.84,913.28,Normal,Interrupted
900150,22094,62410,11/5/2023 3:27,11/5/2023 5:43,17.03,297.42,Fast,Scheduled
900151,29544,55926,5/29/2024 6:57,5/29/2024 8:55,20.89,422.06,Fast,Interrupted
900152,18731,66981,12/28/2023 2:18,12/28/2023 4:24,29.34,709.58,Fast,Scheduled
900153,24890,61831,5/21/2024 19:54,5/21/2024 21:06,41.2,769.51,Normal,Scheduled
900154,24820,55303,7/4/2023 12:28,7/4/2023 13:14,41.28,687.43,Normal,Completed
900155,18129,69154,8/29/2023 11:01,8/29/2023 12:46,26.91,354.11,Normal,Completed
900156,19646,50829,4/4/2024 12:42,4/4/2024 13:44,25.5,481.33,Normal,Interrupted
900157,24490,51466,12/26/2024 15:41,12/26/2024 18:03,26.06,340.92,Normal,Interrupted
900158,14300,62962,1/9/2024 2:46,1/9/2024 5:02,16.98,262.66,Fast,Interrupted
900159,15370,63177,7/24/2023 17:14,7/24/2023 19:14,11.6,140.32,Trickle,Interrupted
900160,18597,57281,3/22/2025 20:23,3/22/2025 23:05,51.19,1031.03,Fast,Interrupted
900161,16703,63765,9/15/2023 16:49,9/15/2023 18:57,16.6,251.05,Fast,Scheduled
900162,18133,61484,2/19/2024 21:07,2/19/2024 23:39,58.6,593.41,Trickle,Interrupted
900163,16295,53125,12/21/2024 6:20,12/21/2024 7:41,18.73,192.65,Fast,Scheduled
900164,24619,67862,1/26/2023 12:03,1/26/2023 14:45,40.29,928.86,Trickle,Interrupted
900165,12292,65584,1/19/2025 18:50,1/19/2025 20:54,51.8,1173.66,Normal,Scheduled
900166,19739,66151,12/3/2023 15:25,12/3/2023 16:15,48.88,532.15,Fast,Completed
900167,21735,57034,6/12/2024 12:27,6/12/2024 14:17,26.17,275.45,Normal,Scheduled
900168,27625,58726,1/28/2025 3:26,1/28/2025 5:08,33.38,495.5,Fast,Completed
900169,20633,66416,4/14/2024 22:48,4/14/2024 23:57,14.11,175.48,Trickle,Completed
900170,15588,65859,4/12/2025 4:51,4/12/2025 6:09,51.71,1188.95,Trickle,Interrupted
900171,22655,53061,11/23/2023 3:55,11/23/2023 6:23,6.64,161.98,Fast,Interrupted
900172,16170,59681,3/2/2025 22:16,3/2/2025 23:52,20.58,222.6,Normal,Completed
900173,25570,63849,5/12/2023 17:49,5/12/2023 20:32,13.57,334.1,Fast,Interrupted
900174,25393,51138,4/21/2024 7:30,4/21/2024 10:19,12.59,251.06,Trickle,Interrupted
900175,24920,61788,4/13/2025 1:54,4/13/2025 2:40,51.54,1093.83,Normal,Scheduled
900176,26915,60631,4/28/2023 5:00,4/28/2023 5:42,49.09,1089.43,Normal,Interrupted
900177,29544,54111,4/11/2025 7:36,4/11/2025 9:24,59.87,1211.87,Trickle,Interrupted
900178,15757,69870,10/27/2023 11:03,10/27/2023 12:03,42.83,871.17,Fast,Completed
900179,16508,54004,7/27/2024 4:42,7/27/2024 6:49,22.65,336.68,Fast,Interrupted
900180,12947,68383,7/26/2023 2:59,7/26/2023 5:23,14.85,368.84,Fast,Interrupted
900181,22944,50637,10/31/2024 2:03,10/31/2024 4:21,14.42,214.41,Trickle,Scheduled
900182,15748,60049,9/27/2024 16:40,9/27/2024 17:56,18.04,359.07,Fast,Completed
900183,19187,55620,6/11/2024 4:03,6/11/2024 4:47,48.1,1119.67,Fast,Scheduled
900184,12211,63493,8/26/2023 4:04,8/26/2023 6:26,28.16,455.39,Normal,Scheduled
900185,29834,66028,5/29/2024 14:18,5/29/2024 15:49,6.16,115.72,Normal,Scheduled
900186,16741,67810,1/22/2025 19:19,1/22/2025 21:07,9.41,145.67,Fast,Completed
900187,19089,68963,8/26/2024 17:35,8/26/2024 19:07,24.38,529.97,Normal,Interrupted
900188,10317,62559,9/19/2023 12:19,9/19/2023 13:21,54.76,915.29,Normal,Interrupted
900189,27656,67812,3/8/2023 18:54,3/8/2023 20:50,35.67,425.8,Trickle,Completed
900190,29364,58422,10/20/2024 6:58,10/20/2024 9:37,48.56,967.36,Trickle,Scheduled
900191,11292,60980,7/18/2024 3:15,7/18/2024 5:44,57.17,1320.65,Normal,Completed
900192,23816,51605,12/6/2023 15:34,12/6/2023 16:20,34.2,632.01,Trickle,Interrupted
900193,14104,50805,9/9/2024 3:56,9/9/2024 6:10,20.49,423.21,Normal,Scheduled
900194,16391,65265,5/23/2023 20:04,5/23/2023 21:56,12.69,178.96,Fast,Completed
900195,23952,52070,4/8/2023 9:02,4/8/2023 9:43,28.3,650.5,Normal,Completed
900196,12633,61312,12/22/2024 5:04,12/22/2024 7:47,48.86,819.82,Normal,Scheduled
900197,11243,52594,3/1/2025 6:13,3/1/2025 9:04,32.67,506.72,Trickle,Interrupted
900198,19377,57602,3/7/2024 6:52,3/7/2024 9:10,5.09,91.98,Fast,Completed
900199,29017,66788,1/22/2025 5:51,1/22/2025 6:57,43.07,838.5,Fast,Interrupted
900200,25275,60774,11/30/2023 2:48,11/30/2023 4:32,52.81,848.53,Fast,Interrupted
900201,23500,60001,2/12/2024 12:56,2/12/2024 14:12,52.09,531.95,Normal,Completed
900202,18010,53614,9/27/2024 11:10,9/27/2024 14:04,22.12,460.3,Normal,Completed
900203,26051,63686,3/6/2024 16:35,3/6/2024 18:53,7.87,160.4,Normal,Scheduled
900204,10275,50585,4/12/2024 4:52,4/12/2024 7:34,45.61,822.22,Trickle,Interrupted
900205,24240,60298,4/9/2025 23:35,4/10/2025 0:32,20.07,258.29,Fast,Completed
900206,13296,64307,5/16/2024 21:37,5/17/2024 0:08,12.78,230.09,Normal,Completed
900207,12237,60624,12/31/2024 4:42,12/31/2024 6:18,39.68,704.84,Normal,Interrupted
900208,15941,66259,11/29/2023 17:36,11/29/2023 19:01,45.94,941.69,Trickle,Completed
900209,22534,55171,7/5/2023 21:59,7/5/2023 23:43,15.05,164.41,Fast,Scheduled
900210,19228,66007,4/16/2023 19:12,4/16/2023 21:03,22.46,409.33,Trickle,Scheduled
900211,27062,60594,6/13/2024 0:24,6/13/2024 2:11,46.49,694.39,Trickle,Interrupted
900212,20166,50045,8/13/2023 18:54,8/13/2023 21:03,7.74,192.78,Trickle,Completed
900213,18943,69403,11/7/2024 19:17,11/7/2024 21:59,6.72,156.5,Fast,Scheduled
900214,13564,50716,12/8/2024 15:10,12/8/2024 17:51,24.43,366.8,Trickle,Scheduled
900215,16584,56486,4/5/2025 12:46,4/5/2025 14:44,38.01,663.9,Fast,Scheduled
900216,16473,64142,6/14/2023 6:04,6/14/2023 8:27,33.31,736.78,Fast,Interrupted
900217,23345,52394,1/11/2023 14:26,1/11/2023 16:57,29.72,621.24,Fast,Scheduled
900218,10023,64206,5/8/2024 13:47,5/8/2024 16:38,57.48,646.1,Normal,Scheduled
900219,27829,66464,10/12/2024 5:38,10/12/2024 7:55,41.25,737.02,Normal,Interrupted
900220,15175,63524,9/27/2024 10:57,9/27/2024 12:35,20.05,298.72,Trickle,Completed
900221,26777,65109,7/16/2023 1:47,7/16/2023 4:46,48.02,901.91,Trickle,Interrupted
900222,27898,62778,4/8/2024 0:49,4/8/2024 1:24,15.87,273.54,Trickle,Scheduled
900223,29055,53729,2/6/2024 3:26,2/6/2024 4:30,20.5,353.21,Trickle,Completed
900224,24709,64796,7/28/2023 22:45,7/29/2023 0:58,30.69,570.3,Normal,Completed
900225,28581,62959,9/6/2023 22:07,9/7/2023 0:26,59.88,1131.85,Trickle,Completed
900226,18135,64880,5/7/2024 2:10,5/7/2024 2:59,45.29,961.22,Normal,Completed
900227,14477,51546,6/24/2023 4:06,6/24/2023 5:57,13.38,133.88,Normal,Completed
900228,18889,65078,7/10/2024 20:30,7/10/2024 22:35,16.44,170.8,Trickle,Scheduled
900229,10561,58619,1/21/2025 7:28,1/21/2025 8:12,21.9,272.18,Normal,Scheduled
900230,22072,51917,10/30/2024 7:20,10/30/2024 7:59,40.83,673.66,Normal,Interrupted
900231,23186,51355,5/30/2023 7:07,5/30/2023 8:16,41.06,562.32,Trickle,Completed
900232,27234,67676,11/14/2024 6:39,11/14/2024 9:17,29.59,698.6,Normal,Completed
900233,16569,63462,2/6/2024 5:52,2/6/2024 7:59,27.05,423.44,Normal,Completed
900234,14147,58946,12/25/2024 23:00,12/26/2024 0:30,40.92,619.07,Trickle,Interrupted
900235,12026,62483,12/7/2023 13:02,12/7/2023 14:39,55.91,987.98,Normal,Interrupted
900236,20274,52805,5/7/2024 23:41,5/8/2024 2:22,54.75,1040.34,Trickle,Scheduled
900237,11184,55219,3/6/2025 22:40,3/6/2025 23:51,34.82,563.14,Normal,Completed
900238,20538,53472,5/17/2023 2:11,5/17/2023 3:15,56.95,707.96,Fast,Completed
900239,10486,58358,8/15/2023 4:54,8/15/2023 7:04,27.94,287.79,Trickle,Completed
900240,15723,62718,4/9/2025 21:18,4/9/2025 22:03,9.49,207.04,Trickle,Scheduled
900241,13586,66476,9/7/2023 11:34,9/7/2023 12:42,17.11,342.2,Trickle,Completed
900242,24446,62778,2/2/2023 11:04,2/2/2023 12:02,46.08,972.32,Fast,Scheduled
900243,17108,68667,12/23/2023 20:44,12/23/2023 22:04,12.28,128.49,Trickle,Interrupted
900244,20634,54342,10/28/2024 23:41,10/29/2024 1:24,45.29,1079.23,Trickle,Interrupted
900245,26654,58840,1/16/2025 20:08,1/16/2025 22:47,32.11,713.36,Normal,Scheduled
900246,18580,50101,5/15/2023 13:42,5/15/2023 16:02,38.96,690.97,Trickle,Scheduled
900247,15183,59077,2/16/2024 15:53,2/16/2024 18:52,55.41,1292.64,Normal,Interrupted
900248,25354,58019,2/18/2024 21:52,2/19/2024 0:23,40.85,689.63,Normal,Interrupted
900249,19611,55066,12/27/2024 5:03,12/27/2024 8:00,19.14,380.47,Trickle,Scheduled
900250,16313,67909,5/16/2024 1:43,5/16/2024 4:06,53.82,1279.68,Fast,Completed
900251,24031,68046,3/7/2025 11:56,3/7/2025 14:16,47.39,511.09,Trickle,Completed
900252,21200,65435,2/7/2025 5:09,2/7/2025 6:24,10.25,219.48,Fast,Scheduled
900253,12579,68569,10/29/2023 18:37,10/29/2023 20:13,7.32,131.05,Trickle,Interrupted
900254,25037,66729,2/12/2023 4:10,2/12/2023 6:49,53.07,1251.59,Trickle,Interrupted
900255,16034,61781,1/12/2025 23:12,1/13/2025 1:10,27.38,678.12,Fast,Scheduled
900256,19921,57044,3/31/2023 20:41,3/31/2023 22:19,56.24,720.98,Trickle,Completed
900257,22799,67214,4/16/2023 2:32,4/16/2023 4:58,59.77,1429.15,Normal,Completed
900258,22812,62964,12/16/2024 7:11,12/16/2024 7:49,46.42,932.4,Fast,Interrupted
900259,22411,58388,11/26/2024 15:51,11/26/2024 17:03,19.64,255.72,Normal,Scheduled
900260,10417,65709,4/11/2025 7:24,4/11/2025 9:16,27.94,596.27,Normal,Interrupted
900261,22993,52730,6/19/2024 20:09,6/19/2024 21:25,20.69,303.85,Normal,Scheduled
900262,26108,59565,9/2/2023 9:38,9/2/2023 10:09,49.61,797.73,Normal,Completed
900263,18160,58362,11/5/2024 22:07,11/6/2024 0:48,40.89,711.4,Trickle,Completed
900264,21580,59266,8/3/2023 4:41,8/3/2023 7:38,58.87,1079.01,Fast,Interrupted
900265,11694,52146,9/3/2024 9:58,9/3/2024 10:50,5.6,116.54,Trickle,Interrupted
900266,16160,58464,12/27/2024 2:11,12/27/2024 4:44,43.07,577.03,Normal,Scheduled
900267,27975,50463,2/7/2023 1:33,2/7/2023 4:27,37.6,394.01,Normal,Completed
900268,26804,64423,5/21/2024 17:53,5/21/2024 19:55,39.06,918.91,Normal,Interrupted
900269,25711,62333,2/13/2023 6:45,2/13/2023 7:27,20.86,331.12,Normal,Scheduled
900270,19860,69340,1/29/2024 8:05,1/29/2024 8:56,18.51,200.83,Normal,Interrupted
900271,26962,63837,1/30/2023 20:40,1/30/2023 21:52,37.21,562.76,Normal,Interrupted
900272,16204,59357,8/18/2023 7:31,8/18/2023 8:46,52.16,1186.94,Normal,Interrupted
900273,27449,63446,12/5/2024 21:15,12/5/2024 22:51,42.98,705.92,Normal,Interrupted
900274,17877,56272,2/6/2024 11:10,2/6/2024 12:54,54.58,1239.74,Trickle,Interrupted
900275,18139,52133,1/9/2025 17:44,1/9/2025 19:51,36.48,438.02,Trickle,Interrupted
900276,24176,60207,4/23/2024 22:25,4/24/2024 0:19,59.24,817.52,Fast,Completed
900277,25681,66003,10/17/2023 19:33,10/17/2023 20:33,37.71,636.51,Fast,Completed
900278,11088,63943,10/12/2023 4:48,10/12/2023 5:48,35.95,744.27,Fast,Completed
900279,10366,68954,1/19/2025 11:44,1/19/2025 13:28,25.22,578.98,Fast,Completed
900280,26977,51865,9/19/2024 22:36,9/20/2024 1:30,22.29,375.19,Trickle,Scheduled
900281,10793,58883,12/16/2024 18:58,12/16/2024 20:54,15.73,279.23,Fast,Completed
900282,29693,55840,2/26/2025 9:37,2/26/2025 12:32,10.38,248.09,Normal,Completed
900283,14068,51311,2/28/2024 14:15,2/28/2024 16:42,51.93,678.86,Fast,Interrupted
900284,18178,61267,3/7/2023 22:32,3/8/2023 0:18,30.59,404.42,Normal,Interrupted
